CLASS	PHRASE	INFO	
person	person	Certain personal characteristics are sometimes associated with creativity, such as attraction to complexity, intuition, and risk taking, but having such traits doesn't guarantee creative achievement. Instead creativity is usually a result of the combination of these traits with task motivation and domain-relevant skills. 	When studying creativity from a person perspective, creative people are asked to self-report their creative abilities or products. This type of measurement, while the most common, is likely to be innaccurate because people often under-report or over-report their own creative achievements. This has contributed greatly to reasons why we ask domain experts, or other people in general to judge creativity instead.
person	trait	Certain personal characteristics are sometimes associated with creativity, such as attraction to complexity, intuition, and risk taking, but having such traits doesn't guarantee creative achievement. Instead creativity is usually a result of the combination of these traits with task motivation and domain-relevant skills. 	When studying creativity from a person perspective, creative people are asked to self-report their creative abilities or products. This type of measurement, while the most common, is likely to be innaccurate because people often under-report or over-report their own creative achievements. This has contributed greatly to reasons why we ask domain experts, or other people in general to judge creativity instead.
person	characteristic	Certain personal characteristics are sometimes associated with creativity, such as attraction to complexity, intuition, and risk taking, but having such traits doesn't guarantee creative achievement. Instead creativity is usually a result of the combination of these traits with task motivation and domain-relevant skills. 	When studying creativity from a person perspective, creative people are asked to self-report their creative abilities or products. This type of measurement, while the most common, is likely to be innaccurate because people often under-report or over-report their own creative achievements. This has contributed greatly to reasons why we ask domain experts, or other people in general to judge creativity instead.
person	personality	Certain personal characteristics are sometimes associated with creativity, such as attraction to complexity, intuition, and risk taking, but having such traits doesn't guarantee creative achievement. Instead creativity is usually a result of the combination of these traits with task motivation and domain-relevant skills. 	When studying creativity from a person perspective, creative people are asked to self-report their creative abilities or products. This type of measurement, while the most common, is likely to be innaccurate because people often under-report or over-report their own creative achievements. This has contributed greatly to reasons why we ask domain experts, or other people in general to judge creativity instead.
person	personality trait	Certain personal characteristics are sometimes associated with creativity, such as attraction to complexity, intuition, and risk taking, but having such traits doesn't guarantee creative achievement. Instead creativity is usually a result of the combination of these traits with task motivation and domain-relevant skills. 	When studying creativity from a person perspective, creative people are asked to self-report their creative abilities or products. This type of measurement, while the most common, is likely to be innaccurate because people often under-report or over-report their own creative achievements. This has contributed greatly to reasons why we ask domain experts, or other people in general to judge creativity instead.
person	inspiring	It is important not to overgeneralize culture, but previous studies have shown an interesting dichotomy between Eastern and Western perspectives on creativity. Participants were asked to name what qualities describe creative people. Though Eastern and Western participants shared descriptors such as "original" and "imaginative", characteristics such as "inspires people", "makes contributions to society", "is appreciated by others", "opinionated", and "rebellious" were uniquely listed by Eastern participants. 	
person	appreciated by others	It is important not to overgeneralize culture, but previous studies have shown an interesting dichotomy between Eastern and Western perspectives on creativity. Participants were asked to name what qualities describe creative people. Though Eastern and Western participants shared descriptors such as "original" and "imaginative", characteristics such as "inspires people", "makes contributions to society", "is appreciated by others", "opinionated", and "rebellious" were uniquely listed by Eastern participants. 	
person	opinionated	It is important not to overgeneralize culture, but previous studies have shown an interesting dichotomy between Eastern and Western perspectives on creativity. Participants were asked to name what qualities describe creative people. Though Eastern and Western participants shared descriptors such as "original" and "imaginative", characteristics such as "inspires people", "makes contributions to society", "is appreciated by others", "opinionated", and "rebellious" were uniquely listed by Eastern participants. 	
person	rebellious	It is important not to overgeneralize culture, but previous studies have shown an interesting dichotomy between Eastern and Western perspectives on creativity. Participants were asked to name what qualities describe creative people. Though Eastern and Western participants shared descriptors such as "original" and "imaginative", characteristics such as "inspires people", "makes contributions to society", "is appreciated by others", "opinionated", and "rebellious" were uniquely listed by Eastern participants. 	
person	artistic	It is important not to overgeneralize culture, but previous studies have shown an interesting dichotomy between Eastern and Western perspectives on creativity. Participants were asked to name what qualities describe creative people. Though Eastern and Western participants shared descriptors such as "original" and "imaginative", characteristics such as "artistic", "having a sense of humor", and  "aesthetic sensibility" were uniquely listed by Western participants. 	
person	humor	It is important not to overgeneralize culture, but previous studies have shown an interesting dichotomy between Eastern and Western perspectives on creativity. Participants were asked to name what qualities describe creative people. Though Eastern and Western participants shared descriptors such as "original" and "imaginative", characteristics such as "artistic", "having a sense of humor", and  "aesthetic sensibility" were uniquely listed by Western participants. 	
person	funny	It is important not to overgeneralize culture, but previous studies have shown an interesting dichotomy between Eastern and Western perspectives on creativity. Participants were asked to name what qualities describe creative people. Though Eastern and Western participants shared descriptors such as "original" and "imaginative", characteristics such as "artistic", "having a sense of humor", and  "aesthetic sensibility" were uniquely listed by Western participants. 	
person	sense of humor	It is important not to overgeneralize culture, but previous studies have shown an interesting dichotomy between Eastern and Western perspectives on creativity. Participants were asked to name what qualities describe creative people. Though Eastern and Western participants shared descriptors such as "original" and "imaginative", characteristics such as "artistic", "having a sense of humor", and  "aesthetic sensibility" were uniquely listed by Western participants. 	
person	aesthetic	It is important not to overgeneralize culture, but previous studies have shown an interesting dichotomy between Eastern and Western perspectives on creativity. Participants were asked to name what qualities describe creative people. Though Eastern and Western participants shared descriptors such as "original" and "imaginative", characteristics such as "artistic", "having a sense of humor", and  "aesthetic sensibility" were uniquely listed by Western participants. 	
